Customer_ID,Age,Annual_Income,Spending_Score,Cluster
1213,36,131732,70,1
1214,19,134821,6,0
1215,61,87641,67,1
1216,43,56395,7,2
1217,49,131276,51,1
1218,23,149695,72,1
1219,49,42700,42,3
1220,21,54620,64,3
1221,28,123214,15,0
1222,34,148148,29,0
1223,55,40559,33,2
1224,41,113045,94,1
1225,22,113396,27,0
1226,51,81642,36,2
1227,23,96539,29,0
1228,39,41732,38,2
1229,28,148675,57,1
1230,33,111362,97,1
1231,50,50354,27,2
1232,26,33843,55,3
1233,23,130008,33,0
1234,33,134065,68,1
1235,46,91726,86,4
1236,20,37640,66,3
1237,37,72528,10,2
1238,53,58413,5,2
1239,36,148142,74,1
1240,43,72638,97,4
1241,20,72736,38,2
1242,36,127892,13,0
1243,37,130133,31,0
1244,49,126357,47,1
1245,24,88866,88,4
1246,58,39087,52,3
1247,50,61430,56,3
1248,57,44504,15,2
1249,56,27114,29,2
1250,35,98859,8,0
1251,57,119657,5,0
1252,18,30975,29,2
1253,28,31023,47,3
1254,45,41447,68,3
1255,42,110469,76,1
1256,40,145899,45,1
1257,48,43959,2,2
1258,47,86203,27,2
1259,59,139156,95,1
1260,52,49703,36,2
1261,24,29337,36,2
1262,33,66427,26,2
1263,43,141507,43,0
1264,19,81529,27,2
1265,18,122023,69,1
1266,29,104665,20,0
1267,22,125787,11,0
1268,54,51921,74,4
1269,49,53307,38,2
1270,26,47355,6,2
1271,58,123268,72,1
1272,52,147016,23,0
1273,36,24835,47,3
1274,33,40159,90,4
1275,20,124346,46,1
1276,37,67605,12,2
1277,41,141790,90,1
1278,50,125616,13,0
1279,41,58088,62,3
1280,28,98752,82,1
1281,25,75284,89,4
1282,53,77043,97,4
1283,55,145388,60,1
1284,57,55547,43,3
1285,37,117007,76,1
1286,52,102844,68,1
1287,42,47532,5,2
1288,52,54349,37,2
1289,42,142402,72,1
1290,46,138012,92,1
1291,35,65445,31,2
1292,63,25713,9,2
1293,35,76178,51,3
1294,19,69407,29,2
1295,52,90340,78,4
1296,33,70990,40,2
1297,58,95672,41,0
1298,53,149473,86,1
1299,50,85545,11,2
1300,21,104791,23,0
1301,50,78141,1,2
1302,31,43793,46,3
1303,38,76570,21,2
1304,37,115084,90,1
1305,25,57892,36,2
1306,24,21015,54,3
1307,20,144704,87,1
1308,34,81813,57,3
1309,50,47712,1,2
1310,29,120497,63,1
1311,39,28415,54,3
1312,39,131854,55,1
1313,63,132816,40,0
1314,47,148778,15,0
1315,55,82292,21,2
1316,55,43833,47,3
1317,62,24158,73,3
1318,25,82680,53,3
1319,44,40309,9,2
1320,44,26970,74,3
1321,51,92474,52,1
1322,38,106704,57,1
1323,47,66540,26,2
1324,50,40384,41,3
1325,45,38017,35,2
1326,64,95880,63,1
1327,50,125570,25,0
1328,22,28702,90,4
1329,36,20384,75,3
1330,21,20404,38,3
1331,52,60943,2,2
1332,34,67926,7,2
1333,61,49189,82,4
1334,45,32763,91,4
1335,47,38384,34,2
1336,46,80100,91,4
1337,63,118142,17,0
1338,23,29860,43,3
1339,52,124293,59,1
1340,58,100642,51,1
1341,54,70612,54,3
1342,41,43574,24,2
1343,46,43524,25,2
1344,63,89172,71,1
1345,48,30916,52,3
1346,52,24809,70,3
1347,50,52201,88,4
1348,38,73330,33,2
1349,49,33456,49,3
1350,40,133748,29,0
1351,50,76397,63,3
1352,20,141288,22,0
1353,35,58765,26,2
1354,42,54816,28,2
1355,59,65106,85,4
1356,48,73932,49,3
1357,20,37100,71,3
1358,57,77091,81,4
1359,63,41949,84,4
1360,41,90080,49,1
1361,49,57744,20,2
1362,64,65543,86,4
1363,39,128319,92,1
1364,40,112193,63,1
1365,19,56187,61,3
1366,44,132734,49,1
1367,59,27239,71,3
1368,19,144454,1,0
1369,43,34489,96,4
1370,34,134937,13,0
1371,57,78017,94,4
1372,50,81877,87,4
1373,26,63125,51,3
1374,60,69922,56,3
1375,56,114074,83,1
1376,46,52049,62,3
1377,59,57131,32,2
1378,43,62944,30,2
1379,52,135765,29,0
1380,42,93963,49,1
1381,41,126884,45,1
1382,30,145917,93,1
1383,24,44285,30,2
1384,53,57626,16,2
1385,62,62808,40,2
1386,37,108464,19,0
1387,18,73871,18,2
1388,25,39198,1,2
1389,63,39758,78,4
1390,33,35254,47,3
1391,31,64238,66,3
1392,29,21252,92,4
1393,40,59764,94,4
1394,32,97709,38,0
1395,45,57441,51,3
1396,51,112234,63,1
1397,19,73682,4,2
1398,49,79494,1,2
1399,40,101317,8,0
1400,39,85215,29,2
1401,42,98587,55,1
1402,39,125185,3,0
1403,39,26949,32,2
1404,59,127825,10,0
1405,23,75393,74,4
1406,32,93553,83,4
1407,60,26941,34,2
1408,54,45934,97,4
1409,50,43386,87,4
1410,25,145362,55,1
1411,61,81886,92,4
1412,61,95745,32,0
1413,22,103251,50,1
1414,56,114456,7,0
1415,21,73413,93,4
1416,23,76800,8,2
1417,62,117239,65,1
1418,49,62318,57,3
1419,47,139803,67,1
1420,64,90173,88,4
1421,52,90390,87,4
1422,57,72329,59,3
1423,33,142418,72,1
1424,30,63088,54,3
1425,59,136868,67,1
1426,47,123196,51,1
1427,36,59811,97,4
1428,34,134825,92,1
1429,36,75479,8,2
1430,45,105392,34,0
1431,43,107369,35,0
1432,54,137520,96,1
1433,43,39963,88,4
1434,40,75123,78,4
1435,26,145911,32,0
1436,29,122468,46,1
1437,18,112705,16,0
1438,18,93477,68,1
1439,64,34388,37,2
1440,51,25569,54,3
1441,49,89836,85,4
1442,42,124573,14,0
1443,57,56586,95,4
1444,62,147018,55,1
1445,18,32015,48,3
1446,33,65002,82,4
1447,56,136594,7,0
1448,22,26254,74,3
1449,39,37144,7,2
1450,46,44214,33,2
1451,20,125654,23,0
1452,29,100719,85,1
1453,43,91774,19,0
1454,33,26090,19,2
1455,54,31637,36,2
1456,39,42415,29,2
1457,46,44071,60,3
1458,31,78243,82,4
1459,45,130951,2,0
1460,22,145827,1,0
1461,64,128215,47,1
1462,47,61240,69,3
1463,63,146146,20,0
1464,22,103807,11,0
1465,29,121570,2,0
1466,33,53434,67,3
1467,43,89724,87,4
1468,43,135359,12,0
1469,38,95697,20,0
1470,56,48732,5,2
1471,53,141465,37,0
1472,50,31314,38,3
1473,47,43954,94,4
1474,54,77108,9,2
1475,40,107044,98,1
1476,27,107505,53,1
1477,22,131195,44,0
1478,53,123081,99,1
1479,51,56668,86,4
1480,48,43061,24,2
1481,27,99252,81,1
1482,36,59749,74,4
1483,49,149668,30,0
1484,18,124680,59,1
1485,22,36907,87,4
1486,62,38777,96,4
1487,21,113229,81,1
1488,33,71745,81,4
1489,41,128464,14,0
1490,33,148077,9,0
1491,19,111865,40,0
1492,45,132428,66,1
1493,49,101818,25,0
1494,44,43624,73,3
1495,37,43321,22,2
1496,41,30488,4,2
1497,29,42574,26,2
1498,52,25240,58,3
1499,50,63221,29,2
